	time	volume_x	open_x	close_x	high_x	low_x	volume_y	open_y	close_y	high_y	low_y
0	2022-02-22 07:00:00+00:00	4485.059500864224	53.45751625859561	52.69898904487746	54.31552245116204	50.80888844676009	27906.0	53.6	52.76	54.34	50.5
1	2022-02-22 08:00:00+00:00	4615.899227794427	52.79846802372574	49.950882254193665	53.97356346137107	49.863838147701415	28951.0	52.89	50.12	54.0	50.02
2	2022-02-22 09:00:00+00:00	2270.446038871411	49.95709969037168	50.59127818052948	51.97776644822741	49.832750966811325	20237.0	50.12	51.1	53.28	50.0
3	2022-02-22 10:00:00+00:00	2110.9066265434785	50.498016637859216	52.126984916499836	52.524900831892964	50.361233041942825	17771.0	51.12	52.99	53.67	50.72
4	2022-02-22 11:00:00+00:00	1679.478730150835	52.12076748032182	52.69898904487746	53.146644449694726	51.66689463932653	19353.0	53.1	53.32	53.91	52.54
5	2022-02-22 12:00:00+00:00	3474.639077829866	52.630597246919265	53.047165470846444	54.55178502592671	51.86585259702309	44271.0	53.29	54.0	55.5	52.46
6	2022-02-22 13:00:00+00:00	1768.350762879419	53.047165470846444	54.27200039791592	54.32795732351808	52.69898904487746	16714.0	53.92	55.08	55.2	53.39
7	2022-02-22 14:00:00+00:00	4569.964809311233	54.27200039791592	56.17453586838931	57.39315335928077	53.619169599224065	30088.0	55.09	57.15	59.6	54.5
8	2022-02-22 15:00:00+00:00	1866.8349519392184	56.15588355985526	56.01909996393887	56.267797411059576	55.03674504781208	20173.0	57.15	55.87	58.5	55.83
9	2022-02-22 16:00:00+00:00	1633.2210049863838	55.9569256021587	53.89273679105684	55.9569256021587	52.97877367288825	18735.0	55.84	54.4	56.12	53.89
10	2022-02-22 17:00:00+00:00	401.3355052910382	53.83677986545468	53.121774704982656	54.284435270271956	52.97255623671023					
11	2022-02-22 18:00:00+00:00	352.5286312935998	53.053382907024464	52.76738084283565	53.681343961004245	52.599510066029175					
12	2022-02-22 19:00:00+00:00	1326.477573707706	52.77359827901367	55.81392457006429	56.14966612367724	52.537335704248996					
13	2022-02-22 20:00:00+00:00	704.5598676929582	55.733097899750064	55.81392457006429	56.57866921996046	55.335181984356936					
14	2022-02-22 04:00:00+00:00						22769.0	57.0	54.99	57.7	52.0
15	2022-02-22 05:00:00+00:00						9940.0	54.9	55.47	57.35	54.56
16	2022-02-22 06:00:00+00:00						13264.0	55.45	53.59	55.45	53.0
17	2022-02-23 04:00:00+00:00						15389.0	56.85	61.56	62.28	55.77
18	2022-02-23 05:00:00+00:00						9580.0	61.55	61.0	62.3	60.38
19	2022-02-23 06:00:00+00:00						9101.0	61.2	60.0	61.64	58.7
20	2022-02-23 07:00:00+00:00						11266.0	60.01	59.27	60.79	58.86
21	2022-02-23 08:00:00+00:00						56962.0	59.27	55.52	59.27	53.52
22	2022-02-23 09:00:00+00:00						25019.0	55.53	53.98	55.54	53.62
23	2022-02-23 10:00:00+00:00						21531.0	54.14	52.76	54.15	52.64
24	2022-02-23 11:00:00+00:00						18883.0	52.87	51.59	53.2	51.23
25	2022-02-23 12:00:00+00:00						36214.0	51.64	52.23	54.24	51.57
26	2022-02-23 13:00:00+00:00						9490.0	52.11	52.68	53.48	51.8
27	2022-02-23 14:00:00+00:00						18266.0	52.97	52.0	53.23	51.7
28	2022-02-23 15:00:00+00:00						28067.0	52.08	50.25	52.84	50.1
29	2022-02-23 16:00:00+00:00						44711.0	50.22	49.71	51.71	49.71
